Location,Date,Hour,API,Pollutant
Kuala Lumpur,11/26/2014,1,34,*
Kuala Lumpur,11/26/2014,2,34,*
Kuala Lumpur,11/26/2014,3,33,*
Kuala Lumpur,11/26/2014,4,33,*
Kuala Lumpur,11/26/2014,5,32,*
Kuala Lumpur,11/26/2014,6,32,*
Kuala Lumpur,11/26/2014,7,32,*
Kuala Lumpur,11/26/2014,8,33,*
Kuala Lumpur,11/26/2014,9,33,*
Kuala Lumpur,11/26/2014,10,33,*
Kuala Lumpur,11/26/2014,11,34,*
Kuala Lumpur,11/26/2014,12,36,*
Kuala Lumpur,11/26/2014,13,40,*
Kuala Lumpur,11/26/2014,14,37,*
Kuala Lumpur,11/26/2014,15,37,*
Kuala Lumpur,11/26/2014,16,36,*
Kuala Lumpur,11/26/2014,17,36,*
Kuala Lumpur,11/26/2014,18,36,*
Kuala Lumpur,11/26/2014,19,36,*
Kuala Lumpur,11/26/2014,20,36,*
Kuala Lumpur,11/26/2014,21,36,*
Kuala Lumpur,11/26/2014,22,36,*
Kuala Lumpur,11/26/2014,23,37,*
Kuala Lumpur,11/26/2014,24,37,*
Kuala Lumpur,11/27/2014,1,37,*
Kuala Lumpur,11/27/2014,2,38,*
Kuala Lumpur,11/27/2014,3,38,*
Kuala Lumpur,11/27/2014,4,39,*
Kuala Lumpur,11/27/2014,5,40,*
Kuala Lumpur,11/27/2014,6,40,*
Kuala Lumpur,11/27/2014,7,41,*
Kuala Lumpur,11/27/2014,8,42,*
Kuala Lumpur,11/27/2014,9,41,*
Kuala Lumpur,11/27/2014,10,41,*
Kuala Lumpur,11/27/2014,11,40,*
Kuala Lumpur,11/27/2014,12,39,*
Kuala Lumpur,11/27/2014,13,37,*
Kuala Lumpur,11/27/2014,14,36,*
Kuala Lumpur,11/27/2014,15,72,*
Kuala Lumpur,11/27/2014,16,68,*
Kuala Lumpur,11/27/2014,17,53,*
Kuala Lumpur,11/27/2014,18,37,*
Kuala Lumpur,11/27/2014,19,37,*
Kuala Lumpur,11/27/2014,20,38,*
Kuala Lumpur,11/27/2014,21,38,*
Kuala Lumpur,11/27/2014,22,38,*
Kuala Lumpur,11/27/2014,23,38,*
Kuala Lumpur,11/27/2014,24,38,*
Kuala Lumpur,11/28/2014,1,37,*
Kuala Lumpur,11/28/2014,2,37,*
Kuala Lumpur,11/28/2014,3,37,*
Kuala Lumpur,11/28/2014,4,36,*
Kuala Lumpur,11/28/2014,5,35,*
Kuala Lumpur,11/28/2014,6,34,*
Kuala Lumpur,11/28/2014,7,34,*
Kuala Lumpur,11/28/2014,8,33,*
Kuala Lumpur,11/28/2014,9,33,*
Kuala Lumpur,11/28/2014,10,33,*
Kuala Lumpur,11/28/2014,11,33,*
Kuala Lumpur,11/28/2014,12,34,*
Kuala Lumpur,11/28/2014,13,34,*
Kuala Lumpur,11/28/2014,14,49,*
Kuala Lumpur,11/28/2014,15,73,*
Kuala Lumpur,11/28/2014,16,76,*
Kuala Lumpur,11/28/2014,17,34,*
Kuala Lumpur,11/28/2014,18,34,*
Kuala Lumpur,11/28/2014,19,34,*
Kuala Lumpur,11/28/2014,20,33,*
Kuala Lumpur,11/28/2014,21,32,*
Kuala Lumpur,11/28/2014,22,32,*
Kuala Lumpur,11/28/2014,23,32,*
Kuala Lumpur,11/28/2014,24,32,*
Kuala Lumpur,11/29/2014,1,31,*
Kuala Lumpur,11/29/2014,2,30,*
Kuala Lumpur,11/29/2014,3,30,*
Kuala Lumpur,11/29/2014,4,30,*
Kuala Lumpur,11/29/2014,5,29,*
Kuala Lumpur,11/29/2014,6,29,*
Kuala Lumpur,11/29/2014,7,29,*
Kuala Lumpur,11/29/2014,8,29,*
Kuala Lumpur,11/29/2014,9,29,*
Kuala Lumpur,11/29/2014,10,28,*
Kuala Lumpur,11/29/2014,11,29,*
Kuala Lumpur,11/29/2014,12,28,*
Kuala Lumpur,11/29/2014,13,47,*
Kuala Lumpur,11/29/2014,14,59,*
Kuala Lumpur,11/29/2014,15,86,*
Kuala Lumpur,11/29/2014,16,66,*
Kuala Lumpur,11/29/2014,17,29,*
Kuala Lumpur,11/29/2014,18,28,*
Kuala Lumpur,11/29/2014,19,28,*
Kuala Lumpur,11/29/2014,20,28,*
Kuala Lumpur,11/29/2014,21,28,*
Kuala Lumpur,11/29/2014,22,27,*
Kuala Lumpur,11/29/2014,23,27,*
Kuala Lumpur,11/29/2014,24,26,*
Kuala Lumpur,11/30/2014,1,26,*
Kuala Lumpur,11/30/2014,2,27,*
Kuala Lumpur,11/30/2014,3,27,*
Kuala Lumpur,11/30/2014,4,27,*
Kuala Lumpur,11/30/2014,5,27,*
Kuala Lumpur,11/30/2014,6,27,*
Kuala Lumpur,11/30/2014,7,27,*
Kuala Lumpur,11/30/2014,8,28,*
Kuala Lumpur,11/30/2014,9,28,*
Kuala Lumpur,11/30/2014,10,27,*
Kuala Lumpur,11/30/2014,11,27,*
Kuala Lumpur,11/30/2014,12,28,*
Kuala Lumpur,11/30/2014,13,30,*
Kuala Lumpur,11/30/2014,14,39,*
Kuala Lumpur,11/30/2014,15,27,*
Kuala Lumpur,11/30/2014,16,28,*
Kuala Lumpur,11/30/2014,17,31,*
